"band","name","dob","hair_color","hair_frosted","hair_length","hair_style","eyes","facial_hair","accessories","top_style","bottom_style","height","skin","instrument","shirt_color","jacket_color","bottom_color"
"The Click Five","Joey Zehr","5/10/1982","brown","no","medium","swept","blue",NA,NA,"suit jacket, long-sleeve button down","dress pants",72,"light","drums","blue","black","black"
"The Click Five","Ben Romans","2/10/1981","brown","yes","short","swept","blue",NA,"bracelet","suit jacket, long-sleeve button down","dress pants",NA,"light","keyboard","blue","black","black"
"The Click Five","Ethan Mentzer","3/15/1982","brown","no","short","spiked","blue",NA,"earring(s)","suit jacket, long-sleeve button down","dress pants",NA,"light","bass guitar","blue","black","black"
"The Click Five","Eric Dill","2/10/1981","brown","no","medium","swept","blue",NA,NA,"suit jacket, long-sleeve button down","dress pants",NA,"light","guitar","blue","black","black"
"The Click Five","Joe Guese","1/14/1982","brown","no","medium","swept","brown",NA,NA,"suit jacket, long-sleeve button down","dress pants",NA,"light","guitar","blue","black","black"
"Ideal","Maverick",NA,"black","no","short","fade","brown","mustache","earring(s), necklace","long-sleeve t-shirt","dress pants",NA,"medium",NA,"white",NA,"black"
"IMx","Marques Houston","8/4/1981","black","green","short","curly","brown","mustache","sunglasses","tank top","overalls",70,"dark",NA,"yellow",NA,"yellow"
"IMx","Young Rome","10/25/1981","black","no","short","fade","brown","mustache","beanie hat","tank top","overalls",69,"dark",NA,"yellow",NA,"yellow"
"IMx","Kelton Kessee","1/2/1981","black","yes","medium","curly","brown","mustache","glasses, eye patch","tank top","overalls",68,"dark",NA,"yellow",NA,"yellow"
"Nu Flavor","Frank Pangelinan",NA,"black","no","short","shaggy","brown","goatee",NA,"long-sleeve button down","dress pants",NA,"medium",NA,"white",NA,"black"
"Nu Flavor","Rico Luna",NA,"black","no","short","fade","brown","mustache, soul patch",NA,"long-sleeve button down","dress pants",NA,"medium",NA,"white",NA,"black"
"Nu Flavor","Anthony DaCosta",NA,"black","no","medium","slick","brown","goatee",NA,"short-sleeve button down","dress pants",NA,"medium",NA,"white",NA,"black"
"Nu Flavor","Jacob Ceniceros",NA,"black","no","medium","fade","brown","mustache",NA,"long-sleeve button down","dress pants",NA,"medium",NA,"white",NA,"black"
"LFO","Richard Burton Cronin","8/30/1974","brown","yes","short","spiked","blue",NA,"necklace","long-sleeve t-shirt","cargo pants",75,"light",NA,"blue",NA,"black"
"Shai","Garfield Bright","10/21/1969","black","no","short","curly","brown","mustache","earring(s)","long-sleeve button down","sweat pants",79,"medium-dark",NA,"green",NA,"black"
"Shai","Marc Gay","1/21/1969","black","no","medium","fade","brown","goatee","necklace","long-sleeve t-shirt","jeans",NA,"medium-dark",NA,"blue",NA,"navy blue"
"LFO","Devin Lima","3/18/1977","brown","no","short","spiked","green","sideburns, five o'clock shadow","earring(s)","short-sleeve t-shirt","cargo pants",71,"medium-light",NA,"green",NA,"black"
"LFO","Brad Fischetti","9/11/1975","brown","no","short","bangs","brown","mustache, five o'clock shadow","earring(s)","short-sleeve t-shirt","sweat pants",75,"light",NA,"brown",NA,"black"
"Brother Beyond","Nathan Moore","1/10/1965","brown","no","short","slick","brown",NA,NA,"leather jacket","jeans",69,"medium-light",NA,"black","black","navy blue"
"Brother Beyond","David Ben White","6/6/1965","brown","no","short","crew","brown",NA,NA,"vest, hoodie","jeans",NA,"light","guitar","black","gray","navy blue"
"Brother Beyond","Carl Fysh","1/25/1961","brown","no","short","crew","blue",NA,"necklace","leather jacket","jeans",NA,"light","keyboard","black","black","navy blue"
"Brother Beyond","Steve Alexander","11/20/1962","brown","no","short","shaggy","brown",NA,NA,"leather jacket","jeans",NA,"light","drums","black","black","navy blue"
"Shai","Carl Martin","8/29/1970","black","no","medium","fade","brown","mustache",NA,"suit jacket, short-sleeve t-shirt","dress pants",NA,"dark",NA,"purple",NA,"black"
"Mindless Behavior","Craig Crippen","12/26/1996","brown","yes","medium","fade","brown",NA,"glasses, earring(s), necklace","letterman jacket","dress pants",64,"medium-dark",NA,"white","black","white"
"Mindless Behavior","Jacob Perez","4/21/1996","black","no","medium","afro","brown",NA,"glasses, earring(s), necklace, 1 red glove","letterman jacket","dress pants",65,"medium",NA,"white","black","white"
"All-4-One","Alfred Nevarez","5/17/1973","black","no","short","spiked","brown","mustache",NA,"long-sleeve button down","jeans",NA,"medium",NA,"tan",NA,"navy blue"
"Mindless Behavior","Santo August","07/23/1997","black","no","long","ponytail","brown",NA,"earring(s), baseball hat, headphones around neck","letterman jacket","dress pants",66,"medium",NA,"white","black","white"
"Mindless Behavior","Rayan Lopez","1/6/1996","black","no","long","pigtail braids","brown",NA,"earring(s), red goggles, necklace","letterman jacket","dress pants",68,"medium",NA,"white","black","white"
"Color Me Badd","Kevin Thornton","6/17/1969","black","no","long","braids","brown","mustache","earring(s)","tank top","jeans",NA,"medium-dark",NA,"red",NA,"navy blue"
"Color Me Badd","Sam Watters","7/23/1970","brown","no","long","ponytail","blue",NA,"earring(s)","sweatshirt","shorts",NA,"light",NA,"blue",NA,"black"
